"","common_name","Total"
"138","Eastern Screech-Owl",667
"139","Eastern Meadowlark",637
"140","Common Nighthawk",591
"141","Rusty Blackbird",591
"142","Philadelphia Vireo",581
"143","Hairy Woodpecker",559
"144","Black-crowned Night Heron",549
"145","American Kestrel",513
"146","Savannah Sparrow",501
"147","Blue-winged Warbler",485
"148","Virginia Rail",483
"149","Pine Warbler",467
"150","Eastern Towhee",463
"151","Mourning Warbler",446
"152","Belted Kingfisher",432
"153","Northern Pintail",393
"154","Gray-cheeked Thrush",350
"155","Broad-winged Hawk",343
"156","Yellow-throated Vireo",338
"157","Eastern Whip-poor-will",335
"158","Rock Pigeon",322
"159","Sharp-shinned Hawk",319
"160","Purple Finch",315
"161","White-eyed Vireo",298
"162","Black-billed Cuckoo",290
"163","Black-necked Stilt",275
"164","Northern Harrier",270
"165","Alder Flycatcher",266
"166","Henslow's Sparrow",247
"167","Yellow-billed Cuckoo",237
"168","Hooded Warbler",227
"169","Northern Mockingbird",227
"170","Short-billed/Long-billed Dowitcher",221
"171","Ring-necked Duck",217
"172","Bufflehead",191
"173","Wilson's Snipe",175
"174","Trumpeter/Tundra Swan",166
"175","Yellow-bellied Flycatcher",159
"176","Orange-crowned Warbler",154
"177","Ruddy Turnstone",152
"178","Alder/Willow Flycatcher (Traill's Flycatcher)",150
"179","Long-billed Dowitcher",148
"180","Willet",118
"181","Yellow-bellied Sapsucker",118
"182","Peregrine Falcon",116
"183","Golden-winged Warbler",115
"184","American Black Duck",114
"185","Red-shouldered Hawk",113
"186","Acadian Flycatcher",109
"187","Least Bittern",105
"188","Greater/Lesser Scaup",95
"189","American Bittern",94
"190","Sedge Wren",92
"191","Common Merganser",90
"192","Marbled Godwit",90
"193","Summer Tanager",89
"194","Forster's/Common Tern",87
"195","Brown Creeper",81
"196","Pine Siskin",74
"197","Winter Wren",74
"198","Common Loon",72
"199","Horned Grebe",72
"200","Black Tern",67
"201","Redhead",67
"202","Wilson's Phalarope",67
"203","Yellow-breasted Chat",67
"204","Olive-sided Flycatcher",66
"205","Glossy/White-faced Ibis",59
"206","Bobolink",58
"207","Cerulean Warbler",58
"208","Golden-crowned Kinglet",54
"209","Dark-eyed Junco",53
"210","Great Black-backed Gull",51
"211","White-rumped Sandpiper",50
"212","Connecticut Warbler",48
"213","Clay-colored Sparrow",45
"214","Kirtland's Warbler",45
"215","Merlin",44
"216","Wild Turkey",44
"217","Western Cattle Egret",42
"218","Downy/Hairy Woodpecker",37
"219","Grasshopper Sparrow",37
"220","Ruby-crowned/Golden-crowned Kinglet",35
"221","Worm-eating Warbler",35
"222","Prairie Warbler",33
"223","Ring-necked Pheasant",33
"224","Greater Scaup",32
"225","American Tree Sparrow",31
"226","Neotropic Cormorant",31
"227","Swainson's Hawk",29
"228","Dickcissel",26
"229","Sanderling",26
"230","Louisiana/Northern Waterthrush",22
"231","Pileated Woodpecker",20
"232","Yellow-headed Blackbird",19
"233","Yellow-billed/Black-billed Cuckoo",18
"234","Snow Goose",17
"235","King Rail",16
"236","Franklin's Gull",15
"237","Common/Red-breasted Merganser",14
"238","Canvasback",12
"239","Kentucky Warbler",12
"240","Blue Grosbeak",11
"241","Sharp-shinned/Cooper's Hawk",11
"242","Black Vulture",10
"243","Lark Sparrow",10
"244","Rough-legged Hawk",9
"245","Graylag Goose",8
"246","Red-necked Phalarope",8
"247","Stilt Sandpiper",8
"248","American Avocet",7
"249","Fox Sparrow",7
"250","Northern Bobwhite",6
"251","Common Goldeneye",5
"252","Barred Owl",4
"253","Brewster's Warbler (hybrid)",4
"254","Horned/Eared Grebe",4
"255","Louisiana Waterthrush",4
"256","Mallard x American Black Duck (hybrid)",4
"257","Western Meadowlark",4
"258","Evening Grosbeak",3
"259","Barn Owl",2
"260","Curlew Sandpiper",2
"261","Lesser Black-backed Gull",2
"262","Yellow-throated Warbler",2
"263","Bell's Vireo",1
"264","Golden-winged x Blue-winged Warbler (hybrid)",1
"265","House/Purple Finch",1
"266","Laughing Gull",1
"267","Muscovy Duck x Mallard (hybrid)",1
"268","Red-legged Partridge",1
"269","Whimbrel",1
